Rudolph_the_Red-Nosed_Reindeer;REL;330553;22.12%;15-Dec;2-12-2015;749;306285;20.50%;16-Dec;11-12-2016;930;255318;17.09%;17-Dec;25-12-2017;Not in the Top 1000;;;;;
Saint_Nicholas;REL;436119;13.94%;15-Dec;6-12-2015;459;509723;16.29%;16-Dec;6-12-2016;376;596654;19.07%;17-Dec;25-12-2017;228;;;;;
Saint_Patrick;REL;804088;19.44%;16-Mar;17-3-2016;133;960322;23.21%;17-Mar;17-3-2017;76;721780;17.45%;18-Mar;17-3-2018;157;;;;;
Saint_Patrick's_Day;REL;2498298;25.35%;16-Mar;17-3-2016;14;3057470;31.02%;17-Mar;17-3-2017;11;2178334;22.10%;18-Mar;17-3-2018;13;;;;;
Santa_Claus;REL;1089350;18.67%;15-Dec;25-12-2015;84;1119099;19.18%;16-Dec;25-12-2016;78;899250;15.41%;17-Dec;25-12-2017;109;;;;;
Santa_Claus's_reindeer;REL;952951;24.88%;15-Dec;24-12-2015;105;587904;15.35%;16-Dec;24-12-2016;288;987767;25.79%;17-Dec;24-12-2017;98;;;;;
Shrove_Tuesday;REL;502237;23.61%;16-Feb;9-2-2016;370;454523;21.37%;17-Feb;28-2-2017;420;377367;17.74%;18-Feb;13-2-2018;533;;;;;
Thanksgiving;REL;1998489;21.63%;15-Nov;26-11-2015;26;1981063;21.44%;16-Nov;24-11-2016;48;1582239;17.13%;17-Nov;23-11-2017;31;;;;;
Twelve_Days_of_Christmas;REL;217444;16.50%;15-Dec;23-12-2015;Not in the Top 1000;237887;18.06%;16-Dec;26-12-2016;Not in the Top 1000;331311;25.15%;17-Dec;26-12-2017;680;;;;;
Vijayadashami;REL;374532;18.21%;15-Oct;22-10-2015;458;371017;18.04%;16-Oct;11-10-2016;553;240279;11.68%;17-Sep;30-9-2017;Not in the Top 1000;;;;;
White_elephant_gift_exchange;REL;584256;27.63%;15-Dec;16-12-2015;251;409904;19.38%;16-Dec;12-12-2016;549;352475;16.67%;17-Dec;16-12-2017;602;;;;;
Yule;REL;314383;19.14%;15-Dec;26-12-2015;824;350309;21.33%;16-Dec;21-12-2016;729;303943;18.51%;17-Dec;21-12-2017;821;;;;;
Aristotle;SCI;252417;3.19%;15-Sep;23-9-2015;Not in the Top 1000;245837;3.11%;16-Sep;19-9-2016;Not in the Top 1000;219759;2.78%;17-Oct;4-10-2017;Not in the Top 1000;;;;;
Autism;SCI;310048;4.08%;16-Apr;2-4-2016;767;251869;3.32%;17-Apr;3-4-2017;Not in the Top 1000;239665;3.16%;18-Apr;2-4-2018;Not in the Top 1000;;;;;
Cicada;SCI;362227;7.59%;15-Aug;14-8-2015;536;330891;6.93%;16-Aug;28-8-2016;697;258901;5.42%;17-Aug;21-8-2017;915;309355;6.48%;18-Aug;26-8-2018;708
Cocaine;SCI;264405;3.07%;15-Sep;15-9-2015;993;281821;3.28%;16-Sep;10-9-2016;882;250828;2.92%;17-Oct;19-10-2017;Not in the Top 1000;;;;;
Daylight_saving_time;SCI;823722;8.77%;16-Mar;13-3-2016;127;748528;7.97%;17-Mar;12-3-2017;138;674222;7.18%;18-Mar;11-3-2018;185;;;;;
Dengue_fever;SCI;356894;5.21%;15-Sep;17-9-2015;513;289233;4.22%;16-Sep;14-9-2016;836;284935;4.16%;17-Oct;24-10-2017;872;;;;;
Dubai;SCI;444748;3.62%;16-Jan;1-1-2016;522;394142;3.21%;16-Dec;24-12-2016;597;351564;2.86%;17-Dec;24-12-2017;605;;;;;
Normal_distribution;SCI;276199;3.08%;15-Oct;20-10-2015;927;293353;3.28%;16-Oct;19-10-2016;896;275083;3.07%;17-Oct;24-10-2017;932;;;;;
Persimmon;SCI;283766;7.58%;15-Nov;9-11-2015;892;264839;7.07%;16-Nov;7-11-2016;Not in the Top 1000;295546;7.89%;17-Nov;19-11-2017;823;;;;;
Pi;SCI;473709;6.35%;16-Mar;14-3-2016;393;451860;6.05%;17-Mar;14-3-2017;399;492347;6.60%;18-Mar;14-3-2018;335;;;;;
Standard_deviation;SCI;387225;3.13%;15-Oct;6-10-2015;428;370756;2.99%;16-Oct;4-10-2016;555;390866;3.16%;17-Oct;11-10-2017;451;;;;;
Summer_solstice;SCI;246606;13.46%;16-Jun;20-6-2016;Not in the Top 1000;297517;16.24%;17-Jun;21-6-2017;744;361203;19.72%;18-Jun;21-6-2018;592;;;;;
Winter_solstice;SCI;437950;18.92%;15-Dec;22-12-2015;452;357337;15.44%;16-Dec;21-12-2016;700;357372;15.44%;17-Dec;21-12-2017;590;;;;;
Andre_Iguodala;SPORT;361628;11.06%;16-Jun;3-6-2016;556;387604;11.85%;17-Jun;13-6-2017;441;237529;7.26%;18-Jun;9-6-2018;Not in the Top 1000;;;;;
Augusta_National_Golf_Club;SPORT;310248;18.04%;16-Apr;10-4-2016;766;303964;17.68%;17-Apr;9-4-2017;792;447306;26.01%;18-Apr;8-4-2018;388;;;;;
