Otonomi_daerah_di_Indonesia;NAT;45726;6.92%;Nov-15;30-11-15;Not in the Top 1000;53593;8.11%;Nov-16;28-11-16;Not in the Top 1000;47806;7.23%;Nov-17;27-11-17;Not in the Top 1000;;;;;
Peraturan_Daerah_(Indonesia);NAT;42984;7.84%;Nov-15;30-11-15;Not in the Top 1000;54318;9.91%;Nov-16;28-11-16;Not in the Top 1000;51713;9.43%;Nov-17;28-11-17;Not in the Top 1000;;;;;
Kebijakan_publik;NAT;29375;8.42%;Nov-15;17-11-15;Not in the Top 1000;28464;8.16%;Nov-16;22-11-16;Not in the Top 1000;25520;7.31%;Nov-17;28-11-17;Not in the Top 1000;;;;;
Perangkat_daerah;NAT;22737;9.70%;Nov-15;30-11-15;Not in the Top 1000;24927;10.63%;Nov-16;28-11-16;Not in the Top 1000;19260;8.21%;Nov-17;27-11-17;Not in the Top 1000;;;;;
Persatuan_Guru_Republik_Indonesia;NAT;20746;11.18%;Nov-15;24-11-15;Not in the Top 1000;13174;7.10%;Nov-16;24-11-16;Not in the Top 1000;12123;6.53%;Nov-17;24-11-17;Not in the Top 1000;;;;;
Komisi_Pemilihan_Umum;NAT;20468;5.24%;Nov-16;29-11-16;Not in the Top 1000;20679;5.29%;Oct-17;30-10-17;Not in the Top 1000;22496;5.76%;Oct-18;29-10-18;Not in the Top 1000;;;;;
Dewan_Perwakilan_Rakyat_Daerah;NAT;14979;6.99%;Nov-15;30-11-15;Not in the Top 1000;14505;6.77%;Nov-16;28-11-16;Not in the Top 1000;14771;6.89%;Nov-17;28-11-17;Not in the Top 1000;;;;;
Peraturan_Pemerintah_(Indonesia);NAT;14769;7.23%;Nov-15;09-11-15;Not in the Top 1000;14513;7.10%;Nov-16;22-11-16;Not in the Top 1000;17631;8.63%;Nov-17;14-11-17;Not in the Top 1000;14412;7.05%;Oct-18;25-10-18;Not in the Top 1000
Korps_Pegawai_Republik_Indonesia;NAT;14302;13.69%;Nov-15;28-11-15;Not in the Top 1000;8773;8.40%;Nov-16;29-11-16;Not in the Top 1000;9420;9.02%;Nov-17;28-11-17;Not in the Top 1000;;;;;
Daftar_Kementerian_di_Republik_Indonesia;NAT;52559;8.40%;Aug-16;22-08-16;Not in the Top 1000;63437;10.13%;Aug-17;08-08-17;Not in the Top 1000;59024;9.43%;Aug-18;19-08-18;Not in the Top 1000;;;;;
Penetapan_hari_jadi_Jakarta;NAT;10366;11.63%;Jun-16;22-06-16;Not in the Top 1000;9696;10.87%;Jun-17;22-06-17;Not in the Top 1000;6629;7.43%;Jun-18;22-06-18;Not in the Top 1000;;;;;
Daftar_Menteri_Koordinator_Bidang_Politik,_Hukum,_dan_Keamanan_Indonesia;NAT;20875;7.94%;Aug-16;29-08-16;Not in the Top 1000;34231;13.02%;Aug-17;09-08-17;Not in the Top 1000;23473;8.93%;Aug-18;28-08-18;Not in the Top 1000;;;;;
Arsip_Nasional_Republik_Indonesia;NAT;14328;9.83%;Aug-16;22-08-16;Not in the Top 1000;16000;10.98%;Aug-17;22-08-17;Not in the Top 1000;11868;8.15%;Aug-18;19-08-18;Not in the Top 1000;;;;;
Geopolitik;NAT;9779;6.83%;May-16;17-05-16;Not in the Top 1000;13226;9.23%;May-17;29-05-17;Not in the Top 1000;8990;6.28%;May-18;21-05-18;Not in the Top 1000;;;;;
Hubungan_luar_negeri_Indonesia;NAT;10414;6.34%;Jan-16;19-01-16;Not in the Top 1000;10223;6.23%;Jan-17;18-01-17;Not in the Top 1000;14038;8.55%;Jan-18;16-01-18;Not in the Top 1000;;;;;
Minal_'Aidin_wal-Faizin;REL;67101;26.55%;Jul-15;16-07-15;Not in the Top 1000;64815;25.65%;Jul-16;05-07-16;Not in the Top 1000;49033;19.40%;Jun-17;24-06-17;Not in the Top 1000;;;;;
Iktikaf;REL;37388;12.19%;Jul-15;07-07-15;Not in the Top 1000;35438;11.55%;Jun-16;25-06-16;Not in the Top 1000;46371;15.11%;Jun-17;15-06-17;Not in the Top 1000;64600;21.05%;Jun-18;07-06-18;Not in the Top 1000
Nuzulul_Qur'an;REL;34043;10.13%;Jul-15;03-07-15;Not in the Top 1000;35689;10.62%;Jun-16;21-06-16;Not in the Top 1000;46925;13.96%;Jun-17;11-06-17;Not in the Top 1000;;;;;
Waktu_haram_puasa;REL;55067;8.83%;Sep-15;21-09-15;Not in the Top 1000;68154;10.93%;Sep-16;15-09-16;Not in the Top 1000;62681;10.05%;Sep-17;04-09-17;Not in the Top 1000;67159;10.77%;Aug-18;22-08-18;Not in the Top 1000
Salat_Tarawih;REL;59732;19.74%;Jun-16;05-06-16;Not in the Top 1000;42725;14.12%;May-17;26-05-17;Not in the Top 1000;47607;15.73%;May-18;16-05-18;Not in the Top 1000;;;;;
Hilal;REL;13250;12.63%;Jul-15;16-07-15;Not in the Top 1000;17521;16.70%;Jun-16;05-06-16;Not in the Top 1000;14889;14.19%;May-17;26-05-17;Not in the Top 1000;;;;;
Ramadan;REL;44387;13.86%;Jun-16;05-06-16;60;42600;13.30%;May-17;26-05-17;126;60664;18.95%;May-18;16-05-18;88;;;;;
Mudik;REL;11160;12.78%;Jul-15;15-07-15;Not in the Top 1000;10687;12.24%;Jul-16;02-07-16;Not in the Top 1000;16909;19.36%;Jun-17;19-06-17;Not in the Top 1000;11027;12.63%;Jun-18;13-06-18;Not in the Top 1000
Zabur;REL;17184;5.63%;Aug-16;02-08-16;Not in the Top 1000;22031;7.22%;Aug-17;01-08-17;Not in the Top 1000;18439;6.04%;Aug-18;01-08-18;Not in the Top 1000;;;;;
Hari_Tasyrik;REL;35372;13.02%;Sep-16;14-09-16;Not in the Top 1000;60337;22.21%;Sep-17;03-09-17;Not in the Top 1000;39184;14.42%;Aug-18;22-08-18;Not in the Top 1000;;;;;
Halloween;REL;101208;20.02%;Oct-15;31-10-15;11;87635;17.33%;Oct-16;31-10-16;20;83335;16.48%;Oct-17;31-10-17;14;;;;;
Satu_Suro;REL;34411;20.08%;Oct-15;13-10-15;Not in the Top 1000;23003;13.42%;Oct-16;01-10-16;Not in the Top 1000;28791;16.80%;Sep-17;20-09-17;Not in the Top 1000;30046;17.53%;Sep-18;10-09-18;Not in the Top 1000
Maulid_Nabi_Muhammad;REL;103164;16.74%;Dec-15;24-12-15;Not in the Top 1000;117483;19.06%;Dec-16;11-12-16;Not in the Top 1000;70708;11.47%;Dec-17;01-12-17;Not in the Top 1000;;;;;
Natal;REL;64974;19.89%;Dec-15;24-12-15;Not in the Top 1000;59517;18.22%;Dec-16;25-12-16;Not in the Top 1000;52716;16.14%;Dec-17;25-12-17;Not in the Top 1000;;;;;
Sinterklas;REL;22446;24.08%;Dec-15;25-12-15;Not in the Top 1000;19670;21.10%;Dec-16;25-12-16;Not in the Top 1000;11954;12.82%;Dec-17;25-12-17;Not in the Top 1000;;;;;
Pohon_Natal;REL;16905;21.95%;Dec-15;24-12-15;Not in the Top 1000;14529;18.86%;Dec-16;25-12-16;Not in the Top 1000;12760;16.57%;Dec-17;24-12-17;Not in the Top 1000;;;;;
Kelahiran_Yesus;REL;14220;7.32%;Dec-15;24-12-15;Not in the Top 1000;16180;8.33%;Dec-16;24-12-16;Not in the Top 1000;17152;8.83%;Dec-17;24-12-17;Not in the Top 1000;;;;;
Isa;REL;12847;3.70%;Dec-15;25-12-15;Not in the Top 1000;12761;3.68%;Dec-16;25-12-16;Not in the Top 1000;13796;3.98%;Dec-17;25-12-17;Not in the Top 1000;;;;;
Rabu_Abu;REL;29512;18.79%;Feb-16;10-02-16;Not in the Top 1000;32588;20.75%;Mar-17;01-03-17;Not in the Top 1000;41676;26.53%;Feb-18;14-02-18;Not in the Top 1000;;;;;
Cap_Go_Meh;REL;29034;19.26%;Feb-16;22-02-16;Not in the Top 1000;25173;16.70%;Feb-17;11-02-17;Not in the Top 1000;20482;13.59%;Mar-18;02-03-18;Not in the Top 1000;;;;;
Paskah;REL;76619;18.19%;Mar-16;25-03-16;Not in the Top 1000;79756;18.94%;Apr-17;14-04-17;Not in the Top 1000;56549;13.43%;Mar-18;30-03-18;Not in the Top 1000;;;;;
Nyepi;REL;56252;18.37%;Mar-16;09-03-16;Not in the Top 1000;62276;20.34%;Mar-17;28-03-17;Not in the Top 1000;38969;12.73%;Mar-18;17-03-18;Not in the Top 1000;;;;;
Jumat_Agung;REL;42993;25.51%;Mar-16;24-03-16;Not in the Top 1000;35288;20.94%;Apr-17;14-04-17;Not in the Top 1000;31624;18.76%;Mar-18;30-03-18;Not in the Top 1000;;;;;
